ds,y
2018-03-05 03:30:00,8733
2018-03-05 04:00:00,8680
2018-03-05 04:30:00,8652
2018-03-05 05:00:00,8673
2018-03-05 05:30:00,9054
2018-03-05 06:00:00,9245
2018-03-05 06:30:00,10001
2018-03-05 07:00:00,10545
2018-03-05 07:30:00,11238
2018-03-05 08:00:00,11611
2018-03-05 08:30:00,11732
2018-03-05 09:00:00,11815
2018-03-05 09:30:00,11760
2018-03-05 10:00:00,11655
2018-03-05 10:30:00,11569
2018-03-05 11:00:00,11595
2018-03-05 11:30:00,11468
2018-03-05 12:00:00,11518
2018-03-05 12:30:00,11376
2018-03-05 13:00:00,11063
2018-03-05 13:30:00,10875
2018-03-05 14:00:00,10660
2018-03-05 14:30:00,10858
2018-03-05 15:00:00,10516
2018-03-05 15:30:00,10450
2018-03-05 16:00:00,10450
2018-03-05 16:30:00,10440
2018-03-05 17:00:00,10422
2018-03-05 17:30:00,10547
2018-03-05 18:00:00,10707
2018-03-05 18:30:00,11057
2018-03-05 19:00:00,11701
2018-03-05 19:30:00,11987
2018-03-05 20:00:00,11815
2018-03-05 20:30:00,11372
2018-03-05 21:00:00,10921
2018-03-05 21:30:00,10476
2018-03-05 22:00:00,10092
2018-03-05 22:30:00,9985
2018-03-05 23:00:00,10442
2018-03-05 23:30:00,10067
2018-03-06 00:00:00,9786
2018-03-06 00:30:00,9470
2018-03-06 01:00:00,8997
2018-03-06 01:30:00,8685
2018-03-06 02:00:00,8416
2018-03-06 02:30:00,8383
2018-03-06 03:00:00,8135
2018-03-06 03:30:00,8121
2018-03-06 04:00:00,8031
2018-03-06 04:30:00,8041
2018-03-06 05:00:00,8128
2018-03-06 05:30:00,8509
2018-03-06 06:00:00,8800
2018-03-06 06:30:00,9483
2018-03-06 07:00:00,9987
2018-03-06 07:30:00,10768
2018-03-06 08:00:00,11205
2018-03-06 08:30:00,11283
2018-03-06 09:00:00,11405
2018-03-06 09:30:00,11415
2018-03-06 10:00:00,11342
2018-03-06 10:30:00,11313
2018-03-06 11:00:00,11222
2018-03-06 11:30:00,11229
2018-03-06 12:00:00,11281
2018-03-06 12:30:00,11203
2018-03-06 13:00:00,11051
2018-03-06 13:30:00,10923
2018-03-06 14:00:00,10772
2018-03-06 14:30:00,10812
2018-03-06 15:00:00,10497
2018-03-06 15:30:00,10270
2018-03-06 16:00:00,10137
2018-03-06 16:30:00,10026
2018-03-06 17:00:00,10005
2018-03-06 17:30:00,10024
2018-03-06 18:00:00,10313
2018-03-06 18:30:00,10825
2018-03-06 19:00:00,11492
2018-03-06 19:30:00,11832
2018-03-06 20:00:00,11733
2018-03-06 20:30:00,11278
2018-03-06 21:00:00,10884
2018-03-06 21:30:00,10356
2018-03-06 22:00:00,10037
2018-03-06 22:30:00,10011
2018-03-06 23:00:00,10495
2018-03-06 23:30:00,10164
2018-03-07 00:00:00,9950
2018-03-07 00:30:00,9634
2018-03-07 01:00:00,9051
2018-03-07 01:30:00,8641
2018-03-07 02:00:00,8418
2018-03-07 02:30:00,8321
2018-03-07 03:00:00,8018
2018-03-07 03:30:00,7949
2018-03-07 04:00:00,7844
2018-03-07 04:30:00,7849
2018-03-07 05:00:00,7903
2018-03-07 05:30:00,8257
2018-03-07 06:00:00,8628
2018-03-07 06:30:00,9270
2018-03-07 07:00:00,9967
2018-03-07 07:30:00,10627
2018-03-07 08:00:00,11143
2018-03-07 08:30:00,11406
2018-03-07 09:00:00,11688
2018-03-07 09:30:00,11750
2018-03-07 10:00:00,11883
2018-03-07 10:30:00,11811
2018-03-07 11:00:00,11802
2018-03-07 11:30:00,11794
2018-03-07 12:00:00,11903
2018-03-07 12:30:00,11709
2018-03-07 13:00:00,11535
2018-03-07 13:30:00,11478
2018-03-07 14:00:00,11244
2018-03-07 14:30:00,11213
2018-03-07 15:00:00,10848
2018-03-07 15:30:00,10697
2018-03-07 16:00:00,10648
2018-03-07 16:30:00,10649
2018-03-07 17:00:00,10728
2018-03-07 17:30:00,10646
2018-03-07 18:00:00,10809
2018-03-07 18:30:00,11068
2018-03-07 19:00:00,11742
2018-03-07 19:30:00,12236
2018-03-07 20:00:00,12172
2018-03-07 20:30:00,11731
2018-03-07 21:00:00,11441
2018-03-07 21:30:00,11016
2018-03-07 22:00:00,10516
2018-03-07 22:30:00,10553
2018-03-07 23:00:00,10972
2018-03-07 23:30:00,10585
2018-03-08 00:00:00,10282
2018-03-08 00:30:00,9972
2018-03-08 01:00:00,9590
